World,EU,Europe,Austria,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Lithuania,Norway,Poland,Portugal,Spain,UK
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0
0,1,1,0,5,2,0,0,0,0,4,0,0,8,0,0,0,0
1,1,1,1,8,4,0,0,3,0,5,0,0,13,0,0,2,1
1,3,2,2,10,5,0,1,4,0,6,0,0,14,0,0,3,1
1,3,3,2,10,6,0,2,7,0,7,0,0,16,1,1,3,2
2,4,4,3,11,7,0,3,7,0,7,0,1,17,1,1,4,2
3,5,5,4,11,8,1,4,9,1,9,0,1,16,2,2,5,2
3,6,6,6,9,9,1,5,10,1,10,1,2,14,2,2,6,3
4,8,7,7,8,9,2,7,10,2,13,2,3,16,3,3,8,4
5,10,9,9,7,9,2,9,9,2,16,2,4,13,4,5,8,4
6,11,10,10,5,10,2,12,9,2,19,3,5,15,4,6,10,5
8,13,11,12,6,12,3,13,9,4,24,3,9,18,5,7,11,6
9,14,13,15,7,14,3,14,12,5,25,4,10,20,6,9,14,8
11,16,15,20,7,15,4,16,12,5,26,5,13,22,7,10,15,9
12,18,16,23,8,15,4,18,14,7,30,6,16,25,9,14,20,11
14,20,18,22,8,17,5,19,14,8,29,5,21,26,10,15,22,13
16,22,20,28,9,17,6,22,11,9,29,6,22,30,11,18,25,15
18,24,22,30,10,18,6,24,9,10,30,7,25,31,12,22,27,16
19,27,24,32,11,18,7,27,19,12,27,8,24,32,14,24,29,18
21,28,25,30,13,18,7,29,16,12,30,8,27,30,15,24,30,19
23,28,26,30,15,18,8,29,14,13,30,9,28,29,16,28,32,21
24,30,27,28,17,19,10,30,10,13,29,8,28,29,17,29,31,24
25,31,28,30,19,20,10,31,10,14,32,9,29,29,20,31,30,25
26,30,28,24,20,21,10,32,29,14,29,10,31,26,23,32,30,27
27,30,28,22,23,22,10,31,32,14,28,10,32,25,23,30,30,28
27,29,27,20,26,25,10,30,21,14,28,11,31,22,26,30,29,29
28,28,27,18,27,25,8,29,22,13,29,11,30,23,27,30,27,30
28,27,26,15,29,27,7,28,25,14,27,11,29,23,29,28,26,31
28,25,25,14,30,29,7,27,27,16,24,12,28,19,31,27,25,31
28,25,25,12,32,32,4,27,30,17,20,12,25,16,30,28,23,31
28,24,25,12,31,31,5,26,13,25,19,18,24,14,30,31,22,30
28,23,24,11,28,31,4,24,14,28,16,20,22,12,32,31,20,30
31,22,23,11,26,27,4,22,11,30,13,22,21,12,30,30,20,30
30,30,29,10,25,27,21,21,13,32,9,25,20,10,29,29,18,29
31,29,29,9,22,26,22,20,11,31,8,27,18,6,27,28,17,28
31,31,30,8,19,23,28,18,10,30,6,30,16,8,27,28,16,28
31,30,30,7,17,23,27,16,7,30,5,32,15,9,27,27,18,28
31,32,31,6,17,22,31,14,6,25,4,28,14,8,28,20,18,29
32,31,31,5,17,21,31,14,3,23,4,27,15,8,27,21,16,30
29,30,32,4,17,23,32,14,4,22,4,26,18,6,30,20,18,30
29,23,26,4,16,22,14,13,1,23,3,23,18,6,31,22,17,31
29,22,26,3,16,22,14,12,6,26,3,21,23,7,31,22,17,31
29,20,25,3,16,23,9,12,6,26,3,19,23,7,30,22,17,32
29,19,24,2,16,21,8,12,7,28,2,20,23,6,30,19,15,31
28,16,22,2,16,21,3,11,8,30,2,20,22,6,29,21,6,31
29,13,20,2,15,20,4,10,8,27,1,18,19,5,29,21,7,30
28,13,20,2,16,19,3,9,8,26,1,19,15,5,27,20,4,30
28,12,19,2,16,20,3,9,9,26,1,19,14,4,27,17,5,30
28,11,19,2,16,20,3,8,4,24,0,18,10,5,27,16,3,30
28,11,18,2,15,20,3,8,4,24,0,17,10,3,28,14,2,30
28,9,18,2,15,20,2,7,2,21,0,14,9,2,27,15,0,30
28,8,17,2,14,20,3,7,2,18,0,12,9,2,25,14,6,29
28,9,18,2,15,19,2,6,1,22,0,12,8,2,24,10,5,29
28,8,18,1,13,18,2,6,1,22,0,10,7,2,24,7,5,28
29,8,18,1,12,17,2,5,1,20,0,10,7,2,24,8,4,27
29,7,17,1,13,17,1,5,0,18,0,9,6,2,25,7,4,26
29,6,17,1,13,17,0,4,0,17,0,9,4,1,24,9,4,25
30,7,18,1,12,17,2,4,0,16,0,8,4,2,25,9,4,23
